"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"12/01/2015 21:00 - 12/01/2015 22:00","Italy (IT)","37431.00","37991.00"
"12/01/2015 22:00 - 12/01/2015 23:00","Italy (IT)","33541.00","33956.00"
"12/01/2015 23:00 - 13/01/2015 00:00","Italy (IT)","30020.00","30281.00"
"13/01/2015 00:00 - 13/01/2015 01:00","Italy (IT)","26933.00","27477.00"
"13/01/2015 01:00 - 13/01/2015 02:00","Italy (IT)","25077.00","25608.00"
"13/01/2015 02:00 - 13/01/2015 03:00","Italy (IT)","24122.00","24505.00"
"13/01/2015 03:00 - 13/01/2015 04:00","Italy (IT)","23866.00","24172.00"
"13/01/2015 04:00 - 13/01/2015 05:00","Italy (IT)","23993.00","24277.00"
"13/01/2015 05:00 - 13/01/2015 06:00","Italy (IT)","25695.00","25926.00"
"13/01/2015 06:00 - 13/01/2015 07:00","Italy (IT)","31074.00","31411.00"
"13/01/2015 07:00 - 13/01/2015 08:00","Italy (IT)","37841.00","37827.00"
"13/01/2015 08:00 - 13/01/2015 09:00","Italy (IT)","42455.00","42123.00"
"13/01/2015 09:00 - 13/01/2015 10:00","Italy (IT)","44272.00","43515.00"
"13/01/2015 10:00 - 13/01/2015 11:00","Italy (IT)","44364.00","43643.00"
"13/01/2015 11:00 - 13/01/2015 12:00","Italy (IT)","43918.00","44027.00"
"13/01/2015 12:00 - 13/01/2015 13:00","Italy (IT)","41061.00","41693.00"
"13/01/2015 13:00 - 13/01/2015 14:00","Italy (IT)","40262.00","40922.00"
"13/01/2015 14:00 - 13/01/2015 15:00","Italy (IT)","41595.00","40776.00"
"13/01/2015 15:00 - 13/01/2015 16:00","Italy (IT)","41468.00","40733.00"
"13/01/2015 16:00 - 13/01/2015 17:00","Italy (IT)","42769.00","42464.00"
"13/01/2015 17:00 - 13/01/2015 18:00","Italy (IT)","45445.00","45346.00"
"13/01/2015 18:00 - 13/01/2015 19:00","Italy (IT)","45029.00","44984.00"
"13/01/2015 19:00 - 13/01/2015 20:00","Italy (IT)","43746.00","43426.00"
"13/01/2015 20:00 - 13/01/2015 21:00","Italy (IT)","40920.00","40781.00"
"13/01/2015 21:00 - 13/01/2015 22:00","Italy (IT)","37835.00","37248.00"
"13/01/2015 22:00 - 13/01/2015 23:00","Italy (IT)","33940.00","33247.00"
